Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome
C8orf34	0.011844754	0.40989741	0.62579854	8
INTS4	0.011849917	0.40989741	0.262298366	11
ADAM23	0.011897677	0.410769905	0.890121331	2
ARFGAP3	0.011919122	0.410769905	0.582777334	22
ANAPC4	0.011977606	0.412025226	0.729912595	4
CHDC2	0.012028897	0.412620635	0.662389804	X
RFX7	0.012049368	0.412620635	0.695285401	15
PRKCD	0.012082641	0.412620635	0.838832078	3
BMF	0.012101869	0.412620635	0.839823728	15
RTF1	0.012105365	0.412620635	0.896663919	15
CUL1	0.012260212	0.416282541	0.311412338	7
POGLUT1	0.012277205	0.416282541	0.67730471	3
TM9SF3	0.012279655	0.416282541	0.520634079	10
GPATCH8	0.012388727	0.418706533	0.486018096	17
ATG14	0.012395991	0.418706533	0.906287084	14
MCPH1	0.012469631	0.419862382	0.806325314	8
C7orf50	0.01248553	0.419862382	0.714320312	7
FGFBP1	0.012497644	0.419862382	0.730149945	4
TSC2	0.012525651	0.420047829	0.426092379	16
NUCKS1	0.012641245	0.423164536	0.346195071	1
C8orf37	0.012721569	0.425091564	0.306678851	8
AMOTL1	0.012762392	0.425694146	0.24532316	11
SGMS2	0.012846794	0.427702145	0.434395234	4
ZSWIM8	0.012883887	0.427702145	0.447769465	10
PRDX3	0.012891285	0.427702145	0.502507185	10
NKAIN4	0.012920941	0.427925983	0.146774082	20
ZFYVE9	0.0129803	0.428372824	0.590713148	1
LRPPRC	0.013015027	0.428761364	0.659072606	2
ZNF395	0.013090848	0.430499911	0.4300055	8
MANEA	0.013175113	0.432509564	0.841159037	6
IK	0.013238284	0.433062475	0.88665772	5
COPS4	0.013238325	0.433062475	0.78546364	4
PPP1R3D	0.013345988	0.435821159	0.298056467	20
CERS3	0.013396487	0.436706767	0.30197891	15
MSL3	0.013477449	0.438041578	0.849065013	X
R3HCC1L	0.013528825	0.438041578	0.665047206	10
HOXD9	0.013531238	0.438041578	0.475980682	2
MTO1	0.013645035	0.440961276	0.589006478	6
AADACL3	0.013724277	0.441758011	0.443147394	1
PLK2	0.013729439	0.441758011	0.731821051	5
TCERG1	0.013740639	0.441758011	0.666733237	5
DALRD3	0.013769449	0.441923611	0.816415662	3
KHSRP	0.013818127	0.44272522	0.526676939	19
MAST2	0.013875814	0.443372289	0.40151899	1
COL9A2	0.013885796	0.443372289	0.343795271	1
CNOT1	0.01395206	0.444727866	0.374174734	16
C6orf203	0.014296375	0.454926734	0.774612073	6
NELL2	0.0144456	0.458748051	0.441385002	12
ZNF12	0.014523904	0.458748051	0.635404425	7
SP3	0.014525054	0.458748051	0.473314792	2
AQP2	0.014589971	0.458748051	0.023809426	12
YWHAE	0.014614253	0.458748051	0.200747631	17
LIN28B	0.014634197	0.458748051	0.715632908	6
PKN2	0.014645882	0.458748051	0.344486043	1
GRXCR1	0.014651754	0.458748051	0.174560951	4
CASC3	0.014677213	0.458748051	0.11805896	17
ZNF717	0.014681059	0.458748051	0.893722837	3
TIGD7	0.014690356	0.458748051	0.545289199	16
KRTAP4-6	0.014711458	0.458748051	0.134889668	17
SLC25A51	0.014735737	0.458748051	0.689777764	9
ABCB6	0.014780121	0.459364194	0.605200507	2
DMXL2	0.014919928	0.462411549	0.361271324	15
SEL1L	0.014927682	0.462411549	0.724209586	14
ZNF654	0.015249583	0.470094017	0.485937514	3
MTL5	0.01525119	0.470094017	0.424903459	11
ARHGAP27	0.015295949	0.470696912	0.628675718	17
PYGO2	0.01534464	0.47141863	0.598053308	1
CHRDL1	0.015386253	0.471920877	0.668143459	X
PSTPIP1	0.015417611	0.47210746	0.335094926	15
MED6	0.015510392	0.473661857	0.762054447	14
FAM53C	0.015520653	0.473661857	0.405840331	5
MAP7D2	0.015557267	0.473661857	0.775137846	X
CBLN3	0.015588112	0.473661857	0.610342635	14
YPEL2	0.015627317	0.473661857	0.434326699	17
OR7C1	0.015637687	0.473661857	0.471923461	19
TOP1	0.015645879	0.473661857	0.42519613	20
MLLT10	0.015740023	0.475580207	0.476859856	10
MARCH8	0.015760166	0.475580207	0.774375322	10
RGPD4	0.015865572	0.477988739	0.504680465	2
CACNA1H	0.016070729	0.483215103	0.260104941	16
RPTN	0.016090786	0.483215103	0.550713902	1
DNAJC1	0.01612054	0.483331576	0.854214516	10
ENO2	0.016212704	0.485315865	0.033072882	12
LRBA	0.016376361	0.489286991	0.49220953	4
C16orf70	0.016410117	0.489286991	0.550839941	16
RXRG	0.016423949	0.489286991	0.233154237	1
GLT8D1	0.016488692	0.490433554	0.601293902	3
PIK3R3	0.016654799	0.494526999	0.565810751	1
SCAF1	0.016679266	0.494526999	0.461457267	19
RHOXF2	0.016857209	0.498923241	0.500728794	X
KANSL1L	0.016894652	0.498923241	0.723493246	2
ARHGAP33	0.016907672	0.498923241	0.102578658	19
PRIM1	0.016937302	0.49900925	0.726303901	12
IRF2BP1	0.016972565	0.499076869	0.768146348	19
TMEM165	0.016993034	0.499076869	0.144448829	4
SLC4A7	0.017109041	0.500458477	0.657584147	3
BTAF1	0.017124987	0.500458477	0.732650007	10
FAM153A	0.017185066	0.500458477	0.471442995	5
SDC4	0.017197806	0.500458477	0.512662232	20
HNRPDL	0.017200832	0.500458477	0.624083089	4
RALGAPA1	0.017334907	0.503574992	0.354515693	14
PEX1	0.017423351	0.505082087	0.617130825	7
CDH7	0.017461091	0.505082087	0.403156915	18
UHRF1BP1L	0.017467907	0.505082087	0.758700811	12
NCOA2	0.017523142	0.505896101	0.259606615	8
LRFN4	0.017602669	0.507407788	0.42525986	11
SLC6A14	0.017636306	0.507594094	0.375245599	X
KLRC2	0.017742062	0.509323818	0.618715415	12
TRIM72	0.017751075	0.509323818	0.46526738	16
PPP1R21	0.017778207	0.509323818	0.903555492	2
ODF1	0.017924581	0.512560764	0.125050217	8
MAP3K13	0.017946075	0.512560764	0.256289372	3
ZDHHC13	0.018031603	0.513652407	0.507454263	11
HPSE2	0.018039294	0.513652407	0.44636671	10
CTSK	0.018302292	0.520347801	0.578555075	1
TKTL1	0.018459525	0.522916794	0.49664014	X
TTYH1	0.018472367	0.522916794	0.700549291	19
RASSF7	0.018476636	0.522916794	0.739491033	11
MYCN	0.018578703	0.524573967	0.372147987	2
BAG6	0.018591357	0.524573967	0.139462728	6
E2F5	0.018708071	0.527070972	0.663278092	8
ALDOB	0.018791887	0.52863503	0.745905783	9
TGIF1	0.018908079	0.531005819	0.824871838	18
SLK	0.01893302	0.531005819	0.599989009	10
ZBTB20	0.019034753	0.531397677	0.232931068	3
KAT6B	0.019070644	0.531397677	0.398875153	10
ALB	0.019087828	0.531397677	0.282569325	4
CD1D	0.019089236	0.531397677	0.22607406	1
SPATA17	0.019173067	0.532227765	0.522850487	1
ZFX	0.019205036	0.532227765	0.141024737	X
RECK	0.019251771	0.532227765	0.800176718	9
GSK3B	0.019261522	0.532227765	0.425317335	3
NEXN	0.019307612	0.532713278	0.476625933	1
PDS5B	0.019367317	0.53357244	0.656887429	13
OR4F5	0.019407865	0.533866893	0.142321064	1
SUCNR1	0.019456354	0.533866893	0.386122169	3
TNFRSF18	0.01950483	0.533866893	0.673680978	1
TMEM55A	0.019528567	0.533866893	0.478325531	8
CTCFL	0.01956117	0.533866893	0.273467927	20
RTN4IP1	0.019574802	0.533866893	0.551602515	6
JUN	0.019590744	0.533866893	0.471314995	1
NR3C1	0.019618376	0.533866893	0.359824575	5
FN3KRP	0.019705122	0.534988346	0.412955495	17
MICU3	0.019792203	0.535945865	0.49772257	8
SCAF4	0.019797775	0.535945865	0.722687166	21
HECA	0.019849527	0.536146469	0.56472146	6
SLC26A7	0.019862592	0.536146469	0.258907439	8
CCDC171	0.019942964	0.536826072	0.591984255	9
NDUFA8	0.019969811	0.536826072	0.657847452	9
CASZ1	0.019973988	0.536826072	0.465273655	1
USP29	0.020038152	0.537776792	0.389540379	19
SPTY2D1	0.020198659	0.539783246	0.535473086	11
RMDN3	0.020212926	0.539783246	0.706801785	15
TBKBP1	0.020228506	0.539783246	0.641854469	17
FBXL19	0.020273981	0.540224963	0.436432919	16
ABL2	0.020311547	0.540415501	0.230764161	1
ZNF658	0.020338996	0.540415501	0.391950986	9
EBF2	0.020386107	0.540897849	0.431761796	8
CASK	0.020511201	0.543444991	0.714256099	X
AKR1C2	0.020569525	0.544218343	0.475079076	10
PHF14	0.020640036	0.545311513	0.413914777	7
ISY1	0.02068666	0.545771369	0.689604414	3
TFG	0.02081288	0.548326914	0.426430788	3
FUT11	0.020909765	0.550103528	0.217597847	10
GPM6A	0.021017901	0.551175522	0.592834682	4
NRK	0.021026009	0.551175522	0.293026114	X
GPR137B	0.021039036	0.551175522	0.206669144	1
PRKCE	0.021116762	0.552436976	0.616673038	2
DDX4	0.021276358	0.555833704	0.470648125	5
INTS8	0.021328924	0.55615369	0.292998829	8
PAX2	0.021384539	0.55615369	0.687293359	10
DYNC1LI2	0.021387362	0.55615369	0.760110892	16
GPR88	0.021407704	0.55615369	0.408036295	1
MICAL1	0.021521867	0.558240806	0.531874812	6
EIF4ENIF1	0.021547814	0.558240806	0.191996317	22
SUPT6H	0.021610783	0.558503171	0.0971487	17
STIL	0.021617741	0.558503171	0.545085336	1
MRPS31	0.021758554	0.560642659	0.788281228	13
GOLIM4	0.021760583	0.560642659	0.602847655	3
TRDN	0.02195413	0.564850134	0.724234719	6
PPP4R1	0.022022969	0.565841869	0.718711722	18
SCHIP1	0.022053971	0.565860048	0.230065137	3
ACY1	0.022166235	0.567414674	0.794055297	3
FIBP	0.022175315	0.567414674	0.501359298	11
DMWD	0.022265083	0.568932268	0.322231051	19
MDFIC	0.022365997	0.570730146	0.256526538	7
NR6A1	0.022601473	0.574638995	0.680749694	9
EPG5	0.02260289	0.574638995	0.579181643	18
FOXQ1	0.022622767	0.574638995	0.048948737	6
EPHA5	0.022700417	0.574638995	0.32736213	4
ABCA5	0.022708501	0.574638995	0.202069279	17
PAPD4	0.022724438	0.574638995	0.533474614	5
CLASP2	0.022806986	0.574914576	0.779613801	3
RBM47	0.022857145	0.5749292	0.76169648	4
FGB	0.022869126	0.5749292	0.666727108	4
SLC30A1	0.022986519	0.577103743	0.291608499	1
KDM3A	0.023046601	0.577835524	0.517787936	2
CACNB4	0.023138282	0.578334104	0.122427855	2
KLHDC8B	0.023148731	0.578334104	0.781723902	3
SLTM	0.023159372	0.578334104	0.678756293	15
GJB1	0.023227869	0.579270168	0.541551408	X
RNASEH2B	0.023279732	0.579445225	0.550185294	13
SRPX2	0.02329693	0.579445225	0.625508315	X
FAM57B	0.023332246	0.579551896	0.430649372	16
DDO	0.023516846	0.583361441	0.674581223	6
USP15	0.023699553	0.586479775	0.665786093	12
CPEB4	0.02370535	0.586479775	0.586367098	5
MGAT4C	0.023775423	0.587245093	0.584927695	12
CMAS	0.023808933	0.587245093	0.508739258	12
NLRC5	0.0238306	0.587245093	0.439182505	16
ADAMTS20	0.023915725	0.588566317	0.268854652	12
FBXL3	0.024024072	0.590454796	0.403242635	13
TINAG	0.024131701	0.591888037	0.583575843	6
FN1	0.024145762	0.591888037	0.422990614	2
CDC25A	0.024244167	0.593521359	0.586426736	3
NKX6-1	0.024292261	0.593920352	0.365600341	4
LPAR3	0.024416541	0.59572104	0.486200552	1
ADPGK	0.024453696	0.59572104	0.588682683	15
DEFB113	0.02446159	0.59572104	0.398907889	6
DCHS1	0.024727958	0.601423857	0.297061963	11
TOB1	0.02480143	0.60197764	0.515280504	17
GDPD3	0.024815182	0.60197764	0.379979661	16
DOCK11	0.024858527	0.602246976	0.524640747	X
RBM5	0.025001304	0.60421807	0.872784032	3
STK38	0.025004581	0.60421807	0.105381873	6
PPP1R1B	0.025095461	0.605630631	0.372942203	17
ACADVL	0.025180475	0.606898175	0.292041267	17
RTN3	0.025268504	0.608235041	0.258948404	11
ARL6IP4	0.025326989	0.608858211	0.431816525	12
LAMTOR4	0.0253946	0.609698896	0.760247525	7
TTPAL	0.02544397	0.610100015	0.222778357	20
CABYR	0.025534852	0.611494231	0.651317964	18
ITFG1	0.025808788	0.616699515	0.225248873	16
CRISPLD1	0.025818246	0.616699515	0.162221351	8
ZNF763	0.025959615	0.619284359	0.639493552	19
RUNDC1	0.026018416	0.619895409	0.666274623	17
LNX2	0.026084678	0.620276831	0.488552237	13
MYEF2	0.026116458	0.620276831	0.678828095	15
TMEM70	0.026134047	0.620276831	0.330124751	8
POGZ	0.026202749	0.621118208	0.150175215	1
MAP7D1	0.026246314	0.621362358	0.224069359	1
CECR6	0.026297907	0.621406462	0.12509226	22
MYB	0.026317222	0.621406462	0.835397084	6
PLCB3	0.026355001	0.621406462	0.619916587	11
CTNNA1	0.026446915	0.621406462	0.595802242	5
PSKH1	0.026520306	0.621406462	0.721407136	16
ACSM3	0.026523389	0.621406462	0.323058299	16
HIGD2A	0.02652403	0.621406462	0.069775123	5
HEPACAM	0.026547586	0.621406462	0.437526477	11
STEAP1B	0.026836196	0.626913171	0.61431107	7
BRWD1	0.026849967	0.626913171	0.332014289	21
RASA2	0.026954319	0.627399413	0.491197412	3
NFKB2	0.026969166	0.627399413	0.626016725	10
ATP8B4	0.026971558	0.627399413	0.451657117	15
TAF1B	0.027092893	0.629437996	0.394928988	2
EEF1A1	0.027233621	0.631921509	0.461996793	6
TRAPPC8	0.027314709	0.633016696	0.570578788	18
TSG101	0.027585839	0.638507919	0.519008382	11
EML4	0.027855905	0.643375565	0.566272237	2
CTSF	0.027865027	0.643375565	0.661219227	11
NEUROD2	0.027992212	0.645514229	0.409090205	17
NME5	0.028090036	0.646971371	0.699038212	5
PXMP2	0.028136431	0.647241873	0.580591051	12
QSER1	0.028221235	0.647395805	0.31580357	11
PCBP2	0.02827132	0.647395805	0.711371857	12
RHBDL3	0.028279214	0.647395805	0.580011586	17
ABHD16A	0.028281759	0.647395805	0.395399584	6
DEFB115	0.028402175	0.648118239	0.382698501	20
MFAP1	0.028431951	0.648118239	0.522130439	15
ITPR2	0.028437164	0.648118239	0.126339667	12
CDC73	0.02845211	0.648118239	0.369648008	1
PHC3	0.02854062	0.649049656	0.08831795	3
HPS1	0.028562494	0.649049656	0.440909628	10
RGS22	0.028705782	0.651513128	0.29589263	8
ING5	0.028757946	0.651904941	0.77147705	2
NTRK2	0.028800955	0.652088537	0.630843699	9
DST	0.028871943	0.652904387	0.717543426	6
TREH	0.029053718	0.656220558	0.670515403	11
LCE5A	0.029095703	0.656375154	0.397222561	1
PRDX1	0.029134271	0.656452407	0.19857322	1
INO80E	0.029177763	0.656640281	0.783782121	16
KIAA1967	0.029257818	0.65764955	0.442647075	8
SLC16A10	0.029317887	0.658207709	0.741348179	6
ARHGAP12	0.029363145	0.658432388	0.647621592	10
POLA2	0.029422548	0.658963122	0.108730711	11
ZMYM6	0.02945737	0.658963122	0.511861338	1
WNT1	0.029527796	0.659748452	0.65251179	12
ZNF142	0.029823167	0.665551903	0.492408825	2
DLG1	0.029952383	0.667039646	0.238154484	3
KLHL8	0.029990964	0.667039646	0.446278378	4
PHEX	0.030010796	0.667039646	0.394689908	X
CCDC15	0.030043116	0.667039646	0.462325321	11
PDE6A	0.030068386	0.667039646	0.599362252	5
ARAF	0.030224398	0.669233315	0.608844313	X
TAB3	0.030238927	0.669233315	0.148726052	X
RBM15B	0.030299355	0.669522584	0.652139464	3
NELL1	0.030323685	0.669522584	0.424563284	11
NUP205	0.030364175	0.669625061	0.241634041	7
PYCARD	0.03046082	0.670590173	0.51861897	16
RTFDC1	0.030508492	0.670590173	0.31803157	20
EME1	0.03051564	0.670590173	0.365202575	17
ZBTB11	0.030770691	0.674963982	0.410516396	3
C15orf52	0.030823078	0.674963982	0.558590551	15
RPS6KB1	0.030952485	0.676211527	0.426221699	17
SNAP29	0.030964263	0.676211527	0.73258348	22
NUDT19	0.030988654	0.676211527	0.158162852	19
ARRDC3	0.031081412	0.676678437	0.841686355	5
IFNGR1	0.031143367	0.676678437	0.792759301	6
CCDC30	0.03116543	0.676678437	0.81413435	1
ARAP3	0.031191059	0.676678437	0.240642024	5
SMG1	0.031191184	0.676678437	0.392386379	16
HNRNPUL2	0.031558837	0.683538691	0.277574771	11
STX5	0.031580593	0.683538691	0.365532067	11
ANKRD44	0.031652172	0.684295038	0.776474708	2
ZNF451	0.031779362	0.685699252	0.65715833	6
CNIH	0.031790543	0.685699252	0.499933321	14
C10orf25	0.031866011	0.686425209	0.568671874	10
CNOT6	0.031897697	0.686425209	0.530494129	5
AP4E1	0.031937737	0.686495967	0.436928008	15
DEFB123	0.032064	0.688417759	0.49188018	20
DCT	0.032156793	0.689617381	0.115927385	13
ACSS3	0.032224229	0.690271081	0.314323125	12
RBM27	0.032357937	0.692341242	0.821509413	5
C1orf68	0.032395057	0.692342409	0.360670923	1
FUNDC1	0.032475854	0.693275964	0.741693588	X
UNCX	0.032608644	0.693947177	0.316112665	7
SAMHD1	0.032631708	0.693947177	0.064174765	20
SAV1	0.032658503	0.693947177	0.791942884	14
GNG2	0.032724892	0.693947177	0.451676271	14
PLA2G15	0.03273599	0.693947177	0.635466067	16
SPAG4	0.032785996	0.693947177	0.396581907	20
YEATS4	0.032804505	0.693947177	0.665434708	12
KAT6A	0.032972064	0.696609834	0.142100736	8
APEX1	0.033048594	0.696609834	0.462250799	14
ARHGEF6	0.033059063	0.696609834	0.53847499	X
TEAD1	0.033202571	0.697093637	0.565131582	11
DDX5	0.033214484	0.697093637	0.599778523	17
CDK17	0.033263214	0.697332849	0.501420081	12
SWAP70	0.033329929	0.697948144	0.887249636	11
MARK2	0.033456288	0.699251881	0.147699625	11
ACBD4	0.033467058	0.699251881	0.821168928	17
GPSM2	0.033766419	0.70422345	0.793554369	1
BLMH	0.033804137	0.70422345	0.798850962	17
METTL1	0.033818108	0.70422345	0.473287677	12
KCNJ9	0.033923731	0.705127481	0.367578657	1
TIGD4	0.03393702	0.705127481	0.750324319	4
DAZAP1	0.033983037	0.70529905	0.695715815	19
CMPK1	0.034099028	0.705748193	0.482931906	1
ARAP2	0.034146643	0.705748193	0.586168704	4
CFI	0.034176383	0.705748193	0.286027045	4
ALPL	0.034218691	0.705748193	0.641787797	1
SLC7A13	0.034236105	0.705748193	0.210435511	8
ARHGAP26	0.034275928	0.705748193	0.434414863	5
USP6	0.034306941	0.705748193	0.597500594	17
STK4	0.034605675	0.710648739	0.671763634	20
UBN2	0.034621251	0.710648739	0.214178352	7
RCOR1	0.034892612	0.71464813	0.752219648	14
ADNP2	0.035054845	0.717184509	0.484756477	18
LANCL3	0.035149545	0.718335169	0.492638931	X
E2F8	0.035230323	0.71919913	0.525000289	11
MTX1	0.035308284	0.720003753	0.71449368	1
SYCP2	0.035430433	0.72092054	0.413702318	20
HAS2	0.035592214	0.723424336	0.130814521	8
STK19	0.035702451	0.724876174	0.616585512	6
PTPN12	0.035749447	0.725042254	0.343037468	7
KCNIP4	0.035847661	0.725210874	0.801865048	4
PPP1R13B	0.035873188	0.725210874	0.461846599	14
SELP	0.035874236	0.725210874	0.227299162	1
NIPA2	0.035917773	0.725306024	0.45117812	15
KDELR3	0.035966607	0.725507826	0.683745394	22
ANKIB1	0.036065483	0.726667971	0.261716456	7
ZNF568	0.036101926	0.726667971	0.480908365	19
RIC8B	0.03623437	0.727518184	0.449705936	12
IGFN1	0.036249676	0.727518184	0.211254645	1
PPP1R3C	0.036265093	0.727518184	0.531824567	10
CCL8	0.03629996	0.727518184	0.55097706	17
SLC9A1	0.036416803	0.729077667	0.712607946	1
PAQR3	0.036652454	0.732225864	0.780155175	4
POLD3	0.036869705	0.733745195	0.559533008	11
CPB1	0.036879578	0.733745195	0.301626102	3
MKL1	0.036902641	0.733745195	0.392171967	22
SLC9A9	0.03697274	0.733745195	0.276912142	3
AP4M1	0.036987969	0.733745195	0.421826054	7
CHPF2	0.037003478	0.733745195	0.194922144	7
PTN	0.037070624	0.734297122	0.426743713	7
PIGH	0.037306975	0.736996442	0.58112081	14
NOTCH2NL	0.037429327	0.736996442	0.472098628	1
LONRF2	0.03745024	0.736996442	0.371756188	2
GBE1	0.037453792	0.736996442	0.305470247	3
PARP2	0.037465022	0.736996442	0.58610268	14
RNMT	0.037485338	0.736996442	0.788327262	18
FAM160A2	0.037533502	0.736996442	0.362447229	11
TLR9	0.037562001	0.736996442	0.262442795	3
EIF5A2	0.037694003	0.738810364	0.409158163	3
CAMTA2	0.037830213	0.739927269	0.297358494	17
ZNF687	0.037975825	0.74002029	0.237574132	1
CCDC39	0.038005247	0.74002029	0.185264697	3
SH3PXD2A	0.038031965	0.74002029	0.562431531	10
DNAJB13	0.038059438	0.74002029	0.447131532	11
SETDB2	0.038098848	0.74002029	0.643710224	13
JOSD1	0.038112293	0.74002029	0.816003732	22
FOXE3	0.038176724	0.740501595	0.327878753	1
CCRL1	0.038238203	0.740924679	0.302858779	3
TMTC3	0.038304013	0.741430729	0.63281957	12
GTF3C6	0.038350699	0.741565947	0.631849173	6
UBXN2B	0.038394771	0.741650384	0.159868176	8
TOR1AIP1	0.038611375	0.745063913	0.178939801	1
RANBP3L	0.038747017	0.746438953	0.683753374	5
FAM135A	0.038762556	0.746438953	0.276269034	6
VEGFB	0.039098705	0.750926127	0.646344185	11
WWC1	0.039131731	0.750926127	0.49097821	5
STAU2	0.039156381	0.750926127	0.673144008	8
NRBP2	0.039196919	0.750932564	0.447349899	8
C16orf86	0.039278502	0.751654546	0.584494979	16
SULT1C3	0.039413187	0.752442921	0.735166151	2
BCL7C	0.03947717	0.752442921	0.366546795	16
PHGDH	0.039595037	0.753152434	0.116108767	1
HSP90AB1	0.039715263	0.754101733	0.393049657	6
MRPL24	0.039725687	0.754101733	0.471381281	1
NRIP1	0.039806511	0.754384273	0.497764958	21
TRIP13	0.039821624	0.754384273	0.110471231	5
LDOC1L	0.039879382	0.754384273	0.535018195	22
C14orf93	0.039902118	0.754384273	0.334231005	14
CD300A	0.040066882	0.755856071	0.436168111	17
TMED10	0.040071213	0.755856071	0.377902786	14
PKP4	0.040171426	0.755856071	0.553750571	2
PARD3B	0.040175616	0.755856071	0.548163727	2
HPR	0.04025043	0.755856071	0.753585167	16
KIAA1009	0.040255896	0.755856071	0.601968982	6
RPS6KA3	0.040263226	0.755856071	0.505618203	X
PLK1	0.04045264	0.758649458	0.268620023	16
CDH24	0.040549075	0.759265758	0.409850945	14
NRP2	0.040566798	0.759265758	0.338515048	2
GPR141	0.040666919	0.759939094	0.101318523	7
MKL2	0.040688382	0.759939094	0.189667899	16
TBR1	0.040927585	0.761099634	0.450660594	2
SENP7	0.040988116	0.761099634	0.375642139	3
ESRP1	0.04110383	0.761099634	0.176041198	8
CUL2	0.041120417	0.761099634	0.564615126	10
ZBTB44	0.041169588	0.761099634	0.496118962	11
SPTAN1	0.041199185	0.761099634	0.369582098	9
RAD9B	0.041267863	0.761099634	0.475962573	12
RAVER1	0.041331858	0.761099634	0.27244458	19
ERBB2IP	0.041369383	0.761099634	0.526596322	5
TPX2	0.041424056	0.761099634	0.263247371	20
CYP8B1	0.041445697	0.761099634	0.282278537	3
PPP6R1	0.04147109	0.761099634	0.549216236	19
MAGEE2	0.041482437	0.761099634	0.402464132	X
FAM19A1	0.041491017	0.761099634	0.397089391	3
MFSD8	0.041609345	0.761099634	0.473340987	4
ANXA7	0.041622115	0.761099634	0.299683509	10
KCNIP2	0.041661166	0.761099634	0.55224973	10
BMP5	0.041683437	0.761099634	0.68627178	6
CNGA2	0.041790248	0.762265164	0.387323715	X
SLC10A3	0.041828888	0.762265164	0.101697887	X
FBXO34	0.041911319	0.762668375	0.197591659	14
RNF219	0.041932674	0.762668375	0.561885136	13
C1QA	0.042011967	0.763367251	0.918165691	1
TSGA10	0.042081067	0.763572041	0.545684193	2
C12orf10	0.042127496	0.763572041	0.494006574	12
EGFL6	0.042145874	0.763572041	0.615562407	X
RBFOX2	0.042272418	0.765122575	0.515649004	22
NAMPT	0.042367042	0.766092909	0.52430559	7
GALR3	0.042474131	0.767007389	0.246412981	22
NECAB1	0.04249974	0.767007389	0.44893071	8
VSTM2A	0.042609909	0.768253363	0.288756524	7
PTPN3	0.042738813	0.768831041	0.520794908	9
STXBP2	0.04277157	0.768831041	0.502936143	19
PIM2	0.042852745	0.768831041	0.189460614	X
POLDIP3	0.042884088	0.768831041	0.623145283	22
IRS2	0.04288891	0.768831041	0.223564736	13
FAM214B	0.043014689	0.770346482	0.462439973	9
GABRG2	0.043181672	0.771856896	0.083025222	5
BAZ2A	0.043244472	0.772240437	0.43428364	12
TMEM132C	0.043328941	0.77230556	0.49955619	12
SUN1	0.043330811	0.77230556	0.389929868	7
SMARCC2	0.043427914	0.773298379	0.266107823	12
MVB12B	0.043615602	0.7744257	0.710467328	9
MBD2	0.043667733	0.774614986	0.545484894	18
PCTP	0.043865142	0.777378538	0.37906144	17
SERPINI1	0.04396416	0.778394831	0.236709022	3
PGR	0.044049933	0.779174898	0.265275788	11
NEURL	0.04414164	0.779410477	0.300955928	10
TRIP6	0.04416136	0.779410477	0.059943837	7
HIPK1	0.044188431	0.779410477	0.489091637	1
AVPR1B	0.04434647	0.780292643	0.214593299	1
DPPA4	0.04436637	0.780292643	0.238492015	3
DYNC1I1	0.044480056	0.780292643	0.139075922	7
SMPD1	0.0445086	0.780292643	0.395431429	11
MXI1	0.044618457	0.78057448	0.702285298	10
MSX2	0.044637361	0.78057448	0.323215081	5
IL6ST	0.044672312	0.78057448	0.812080084	5
CASKIN1	0.044763875	0.781443381	0.324347757	16
ECD	0.044913608	0.783325186	0.375779241	10
COL18A1	0.045105618	0.784156538	0.140274619	21
